video_id,annotation_path,prediction_path,has_prediction,action_gt,action_pred,action_correct,pck,pck_correct,pck_total,angle_mae_deg,angle_pairs,error_type_labels,status,message
pushup_023,evaluation\action_analysis\dataset\annotations\pushup_023.json,evaluation\action_analysis\dataset\predictions\pushup_023_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\pushup_023.json
pushup_024,evaluation\action_analysis\dataset\annotations\pushup_024.json,evaluation\action_analysis\dataset\predictions\pushup_024_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\pushup_024.json
pushup_025,evaluation\action_analysis\dataset\annotations\pushup_025.json,evaluation\action_analysis\dataset\predictions\pushup_025_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\pushup_025.json
pushup_026,evaluation\action_analysis\dataset\annotations\pushup_026.json,evaluation\action_analysis\dataset\predictions\pushup_026_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\pushup_026.json
pushup_027,evaluation\action_analysis\dataset\annotations\pushup_027.json,evaluation\action_analysis\dataset\predictions\pushup_027_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\pushup_027.json
pushup_028,evaluation\action_analysis\dataset\annotations\pushup_028.json,evaluation\action_analysis\dataset\predictions\pushup_028_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\pushup_028.json
pushup_029,evaluation\action_analysis\dataset\annotations\pushup_029.json,evaluation\action_analysis\dataset\predictions\pushup_029_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\pushup_029.json
pushup_030,evaluation\action_analysis\dataset\annotations\pushup_030.json,evaluation\action_analysis\dataset\predictions\pushup_030_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\pushup_030.json
squat_001,evaluation\action_analysis\dataset\annotations\squat_001.json,evaluation\action_analysis\dataset\predictions\squat_001_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_001.json
squat_002,evaluation\action_analysis\dataset\annotations\squat_002.json,evaluation\action_analysis\dataset\predictions\squat_002_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_002.json
squat_003,evaluation\action_analysis\dataset\annotations\squat_003.json,evaluation\action_analysis\dataset\predictions\squat_003_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_003.json
squat_004,evaluation\action_analysis\dataset\annotations\squat_004.json,evaluation\action_analysis\dataset\predictions\squat_004_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_004.json
squat_005,evaluation\action_analysis\dataset\annotations\squat_005.json,evaluation\action_analysis\dataset\predictions\squat_005_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_005.json
squat_006,evaluation\action_analysis\dataset\annotations\squat_006.json,evaluation\action_analysis\dataset\predictions\squat_006_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_006.json
squat_007,evaluation\action_analysis\dataset\annotations\squat_007.json,evaluation\action_analysis\dataset\predictions\squat_007_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_007.json
squat_008,evaluation\action_analysis\dataset\annotations\squat_008.json,evaluation\action_analysis\dataset\predictions\squat_008_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_008.json
squat_009,evaluation\action_analysis\dataset\annotations\squat_009.json,evaluation\action_analysis\dataset\predictions\squat_009_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_009.json
squat_010,evaluation\action_analysis\dataset\annotations\squat_010.json,evaluation\action_analysis\dataset\predictions\squat_010_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_010.json
squat_011,evaluation\action_analysis\dataset\annotations\squat_011.json,evaluation\action_analysis\dataset\predictions\squat_011_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_011.json
squat_012,evaluation\action_analysis\dataset\annotations\squat_012.json,evaluation\action_analysis\dataset\predictions\squat_012_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_012.json
squat_013,evaluation\action_analysis\dataset\annotations\squat_013.json,evaluation\action_analysis\dataset\predictions\squat_013_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_013.json
squat_014,evaluation\action_analysis\dataset\annotations\squat_014.json,evaluation\action_analysis\dataset\predictions\squat_014_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_014.json
squat_015,evaluation\action_analysis\dataset\annotations\squat_015.json,evaluation\action_analysis\dataset\predictions\squat_015_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_015.json
squat_016,evaluation\action_analysis\dataset\annotations\squat_016.json,evaluation\action_analysis\dataset\predictions\squat_016_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_016.json
squat_017,evaluation\action_analysis\dataset\annotations\squat_017.json,evaluation\action_analysis\dataset\predictions\squat_017_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_017.json
